Recipient Name,Award Amount,Careers Search
INDEX ANALYTICS LLC,10392945.19,https://www.google.com/search?q=INDEX%20ANALYTICS%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
RESEARCH TRIANGLE INSTITUTE,9245045.0,https://www.google.com/search?q=RESEARCH%20TRIANGLE%20INSTITUTE%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"C2C INNOVATIVE SOLUTIONS, INC.",8208588.0,https://www.google.com/search?q=C2C%20INNOVATIVE%20SOLUTIONS%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
ABT GLOBAL LLC,8009725.0,https://www.google.com/search?q=ABT%20GLOBAL%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
FLEXION INC,7725614.02,https://www.google.com/search?q=FLEXION%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"CUSTOMER VALUE PARTNERS, LLC",7678196.49,https://www.google.com/search?q=CUSTOMER%20VALUE%20PARTNERS%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
SEMANTICBITS LLC,7256993.0,https://www.google.com/search?q=SEMANTICBITS%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"IPG DXTRA, INC.",7004842.13,https://www.google.com/search?q=IPG%20DXTRA%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
AD HOC LLC,6614150.2,https://www.google.com/search?q=AD%20HOC%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
TISTA SCIENCE AND TECHNOLOGY CORPORATION,6404182.34,https://www.google.com/search?q=TISTA%20SCIENCE%20AND%20TECHNOLOGY%20CORPORATION%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
NIMBUS CONSULTING LLC,5997574.5,https://www.google.com/search?q=NIMBUS%20CONSULTING%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"NOVITAS SOLUTIONS, INC.",5745185.0,https://www.google.com/search?q=NOVITAS%20SOLUTIONS%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
NEXTSTEP TECHNOLOGY INC,5664837.0,https://www.google.com/search?q=NEXTSTEP%20TECHNOLOGY%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
NATIONAL OPINION RESEARCH CENTER,5506161.51,https://www.google.com/search?q=NATIONAL%20OPINION%20RESEARCH%20CENTER%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
NOVUS TECHNOLOGY PARTNERS INC,5506110.72,https://www.google.com/search?q=NOVUS%20TECHNOLOGY%20PARTNERS%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
SAMTEK INC,5493369.62,https://www.google.com/search?q=SAMTEK%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
